country,year,mode,powertrain,ev_charging_points,ev_sales,ev_sales_share,ev_stock,ev_stock_share,electricity_demand_ev,iso_code,population,gdp,co2,co2_per_capita,co2_per_gdp,oil_co2,oil_co2_per_capita,coal_co2,coal_co2_per_capita,co2_per_unit_energy,primary_energy_consumption,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,electricity_generation,electricity_demand_tot,low_carbon_electricity,fossil_electricity,renewables_electricity,coal_electricity,gas_electricity,oil_electricity,nuclear_electricity,hydro_electricity,solar_electricity,wind_electricity,other_renewable_electricity,net_elec_imports
Austria,2013,Cars,BEV,0.0,650.0,0.0,2100.0,0.0,0.0,AUT,8481411.0,352182904722.0,67.759,7.989,0.192,33.45,3.944,14.959,1.764,164.923,410.852,91.17,10.749,0.259,64.55,71.82,50.5,14.05,50.5,4.21,6.65,3.19,0.0,42.02,0.63,3.15,4.7,7.27
Austria,2013,Cars,EV,0.0,0.0,0.200000002980232,0.0,0.052999999374151,0.0,AUT,8481411.0,352182904722.0,67.759,7.989,0.192,33.45,3.944,14.959,1.764,164.923,410.852,91.17,10.749,0.259,64.55,71.82,50.5,14.05,50.5,4.21,6.65,3.19,0.0,42.02,0.63,3.15,4.7,7.27
Austria,2013,Cars,PHEV,0.0,0.0,0.0,410.0,0.0,0.0,AUT,8481411.0,352182904722.0,67.759,7.989,0.192,33.45,3.944,14.959,1.764,164.923,410.852,91.17,10.749,0.259,64.55,71.82,50.5,14.05,50.5,4.21,6.65,3.19,0.0,42.02,0.63,3.15,4.7,7.27
Austria,2013,EV,Publicly available fast,0.100000001490116,0.0,0.0,0.0,0.0,0.0,AUT,8481411.0,352182904722.0,67.759,7.989,0.192,33.45,3.944,14.959,1.764,164.923,410.852,91.17,10.749,0.259,64.55,71.82,50.5,14.05,50.5,4.21,6.65,3.19,0.0,42.02,0.63,3.15,4.7,7.27
Austria,2013,EV,Publicly available slow,0.100000001490116,0.0,0.0,0.0,0.0,0.0,AUT,8481411.0,352182904722.0,67.759,7.989,0.192,33.45,3.944,14.959,1.764,164.923,410.852,91.17,10.749,0.259,64.55,71.82,50.5,14.05,50.5,4.21,6.65,3.19,0.0,42.02,0.63,3.15,4.7,7.27
Austria,2014,Cars,BEV,0.0,1700.0,0.0,3400.0,0.0,0.0,AUT,8547812.0,354511819035.0,64.159,7.506,0.181,32.413,3.792,13.801,1.615,162.473,394.889,91.984,10.761,0.259,61.55,70.82,50.2,11.35,50.2,2.94,5.32,3.09,0.0,41.01,0.79,3.85,4.55,9.27
Austria,2014,Cars,EV,0.0,0.0,0.569999992847443,0.0,0.089000001549721,0.0,AUT,8547812.0,354511819035.0,64.159,7.506,0.181,32.413,3.792,13.801,1.615,162.473,394.889,91.984,10.761,0.259,61.55,70.82,50.2,11.35,50.2,2.94,5.32,3.09,0.0,41.01,0.79,3.85,4.55,9.27
Austria,2014,Cars,FCEV,0.0,6.0,0.0,3.0,0.0,0.0,AUT,8547812.0,354511819035.0,64.159,7.506,0.181,32.413,3.792,13.801,1.615,162.473,394.889,91.984,10.761,0.259,61.55,70.82,50.2,11.35,50.2,2.94,5.32,3.09,0.0,41.01,0.79,3.85,4.55,9.27
Austria,2014,Cars,PHEV,0.0,0.0,0.0,780.0,0.0,0.0,AUT,8547812.0,354511819035.0,64.159,7.506,0.181,32.413,3.792,13.801,1.615,162.473,394.889,91.984,10.761,0.259,61.55,70.82,50.2,11.35,50.2,2.94,5.32,3.09,0.0,41.01,0.79,3.85,4.55,9.27
Austria,2014,EV,Publicly available fast,0.100000001490116,0.0,0.0,0.0,0.0,0.0,AUT,8547812.0,354511819035.0,64.159,7.506,0.181,32.413,3.792,13.801,1.615,162.473,394.889,91.984,10.761,0.259,61.55,70.82,50.2,11.35,50.2,2.94,5.32,3.09,0.0,41.01,0.79,3.85,4.55,9.27
