country,isoCode,continent,continentCode,year,halfDecade,pandemicPeriod,vehicleType,powertrain,evSales,evSalesShare,evStock,evStockShare,evElectricityDemand,evChargingPoints,chargingPointsPerEv,population,GDP
Austria,AUT,Europe,EU,2017,2015-2019,Pre-Pandemic,Cars,BEV,5400.0,0.0,15000.0,0.0,0.0,0.0,1.0571383423026164e-05,8797566.0,414926138132.691
Austria,AUT,Europe,EU,2017,2015-2019,Pre-Pandemic,Cars,EV,0.0,2.0,0.0,0.379999995231628,0.0,0.0,1.0571383423026164e-05,8797566.0,414926138132.691
Austria,AUT,Europe,EU,2017,2015-2019,Pre-Pandemic,Cars,FCEV,2.0,0.0,19.0,0.0,0.0,0.0,1.0571383423026164e-05,8797566.0,414926138132.691
Austria,AUT,Europe,EU,2017,2015-2019,Pre-Pandemic,Cars,PHEV,1700.0,0.0,3900.0,0.0,0.0,0.0,1.0571383423026164e-05,8797566.0,414926138132.691
Austria,AUT,Europe,EU,2017,2015-2019,Pre-Pandemic,EV,Publicly available fast,0.0,0.0,0.0,0.0,0.0,0.100000001490116,1.0571383423026164e-05,8797566.0,414926138132.691
Austria,AUT,Europe,EU,2017,2015-2019,Pre-Pandemic,EV,Publicly available slow,0.0,0.0,0.0,0.0,0.0,0.100000001490116,1.0571383423026164e-05,8797566.0,414926138132.691
Austria,AUT,Europe,EU,2018,2015-2019,Pre-Pandemic,Cars,BEV,6800.0,0.0,21000.0,0.0,0.0,0.0,7.483909705891034e-06,8840521.0,452582294972.775
Austria,AUT,Europe,EU,2018,2015-2019,Pre-Pandemic,Cars,EV,0.0,2.59999990463257,0.0,0.529999971389771,0.0,0.0,7.483909705891034e-06,8840521.0,452582294972.775
Austria,AUT,Europe,EU,2018,2015-2019,Pre-Pandemic,Cars,FCEV,7.0,0.0,24.0,0.0,0.0,0.0,7.483909705891034e-06,8840521.0,452582294972.775
Austria,AUT,Europe,EU,2018,2015-2019,Pre-Pandemic,Cars,PHEV,2300.0,0.0,5700.0,0.0,0.0,0.0,7.483909705891034e-06,8840521.0,452582294972.775
Austria,AUT,Europe,EU,2018,2015-2019,Pre-Pandemic,EV,Publicly available fast,0.0,0.0,0.0,0.0,0.0,0.100000001490116,7.483909705891034e-06,8840521.0,452582294972.775
Austria,AUT,Europe,EU,2018,2015-2019,Pre-Pandemic,EV,Publicly available slow,0.0,0.0,0.0,0.0,0.0,0.100000001490116,7.483909705891034e-06,8840521.0,452582294972.775
Austria,AUT,Europe,EU,2019,2015-2019,Pre-Pandemic,Cars,BEV,9300.0,0.0,30000.0,0.0,0.0,0.0,5.257485423102231e-06,8879920.0,442983642371.842
Austria,AUT,Europe,EU,2019,2015-2019,Pre-Pandemic,Cars,EV,0.0,3.5,0.0,0.75,0.0,0.0,5.257485423102231e-06,8879920.0,442983642371.842
Austria,AUT,Europe,EU,2019,2015-2019,Pre-Pandemic,Cars,FCEV,19.0,0.0,41.0,0.0,0.0,0.0,5.257485423102231e-06,8879920.0,442983642371.842
Austria,AUT,Europe,EU,2019,2015-2019,Pre-Pandemic,Cars,PHEV,2200.0,0.0,8000.0,0.0,0.0,0.0,5.257485423102231e-06,8879920.0,442983642371.842
Austria,AUT,Europe,EU,2019,2015-2019,Pre-Pandemic,EV,Publicly available fast,0.0,0.0,0.0,0.0,0.0,0.100000001490116,5.257485423102231e-06,8879920.0,442983642371.842
Austria,AUT,Europe,EU,2019,2015-2019,Pre-Pandemic,EV,Publicly available slow,0.0,0.0,0.0,0.0,0.0,0.100000001490116,5.257485423102231e-06,8879920.0,442983642371.842
Austria,AUT,Europe,EU,2020,2020-2023,Pandemic,Cars,BEV,16000.0,0.0,45000.0,0.0,0.0,0.0,3.3308352565614456e-06,8916864.0,434397601557.696
Austria,AUT,Europe,EU,2020,2020-2023,Pandemic,Cars,EV,0.0,9.5,0.0,1.20000004768372,0.0,0.0,3.3308352565614456e-06,8916864.0,434397601557.696
Austria,AUT,Europe,EU,2020,2020-2023,Pandemic,Cars,FCEV,14.0,0.0,45.0,0.0,0.0,0.0,3.3308352565614456e-06,8916864.0,434397601557.696
Austria,AUT,Europe,EU,2020,2020-2023,Pandemic,Cars,PHEV,7600.0,0.0,15000.0,0.0,0.0,0.0,3.3308352565614456e-06,8916864.0,434397601557.696
Austria,AUT,Europe,EU,2020,2020-2023,Pandemic,EV,Publicly available fast,0.0,0.0,0.0,0.0,0.0,0.100000001490116,3.3308352565614456e-06,8916864.0,434397601557.696
Austria,AUT,Europe,EU,2020,2020-2023,Pandemic,EV,Publicly available slow,0.0,0.0,0.0,0.0,0.0,0.100000001490116,3.3308352565614456e-06,8916864.0,434397601557.696
Austria,AUT,Europe,EU,2021,2020-2023,Pandemic,Cars,BEV,33000.0,0.0,77000.0,0.0,0.0,0.0,0.09900523313375136,8955797.0,480466363176.806
Austria,AUT,Europe,EU,2021,2020-2023,Pandemic,Cars,EV,0.0,20.0,0.0,2.09999990463257,0.0,0.0,0.09900523313375136,8955797.0,480466363176.806
Austria,AUT,Europe,EU,2021,2020-2023,Pandemic,Cars,FCEV,14.0,0.0,55.0,0.0,0.0,0.0,0.09900523313375136,8955797.0,480466363176.806
