Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Brazil,BRA,"Population, total",SP.POP.TOTL,193701929,195284734,196876111,198478299,200085127,201675532,203218114,204703445,206107261,207455459,208660842,209550294,210306415,211140729
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,2208837745100.55,2616156223917.69,2465227802806.76,2472819535557.21,2456043727198.85,1802212206814.5,1795693482853.01,2063514977365.65,1916933898010.99,1873288205059.69,1476107231310.49,1670647398904.9,1951923942083.32,2191131765684.63
British Virgin Islands,VGB,"Population, total",SP.POP.TOTL,27675,28710,30345,31703,32962,34498,33878,32699,34657,36395,37135,37809,38319,38985
British Virgin Islands,VGB,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,392332,399389,405557,411202,416750,422212,427564,432772,437810,442680,447404,451721,455370,458949
Brunei Darussalam,BRN,GDP (current US$),NY.GDP.MKTP.CD,13707121038.4383,18524791062.657,19048443340.7732,18094148098.6536,17097797386.0336,12930296870.1247,11400266044.6651,12128168045.1245,13566908391.0895,13469235364.7032,12005799653.9835,14006496617.4458,16681536466.7183,15095084656.1634
Bulgaria,BGR,"Population, total",SP.POP.TOTL,7395599,7348328,7305888,7160005,7073572,6984225,6894139,6803468,6710798,6616726,6550696,6507301,6465097,6446596
Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,50691645231.0083,57684243980.4624,54299825600.0647,55822115861.1854,57083817239.8145,50768512172.9373,53932152153.5457,59170671046.4798,66100606676.6544,68511235459.4907,70490478088.1395,84378926047.3002,90510784777.6397,102204457334.822
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,16176498,16661908,17172287,17695409,18229461,18777487,19334856,19894407,20438288,20961952,21478690,21995243,22509038,23025776
Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,10109619740.6994,12080295977.5632,12561015156.5683,13444300485.8412,13943016076.7436,11832159315.6298,12833363045.3367,14106955615.3442,15890066221.2882,16032813503.3707,17725010532.5268,19697516284.3787,18622421394.6133,20106062971.6533
Burundi,BDI,"Population, total",SP.POP.TOTL,9376444,9717978,10071028,10439341,10799785,11047580,11239451,11506762,11859446,12255336,12617036,12965481,13321097,13689450
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,2032135192.01248,2235812879.56709,2327402362.81574,2451624637.67157,2705826648.21019,2810532912.49975,2618093125.14687,2831362208.34039,2913411408.44783,2871555326.31029,3188355943.63513,3425127990.70519,4020736756.64256,3419558408.35408
Cabo Verde,CPV,"Population, total",SP.POP.TOTL,509784,511447,511955,512225,512326,512394,512554,512893,513415,514104,514679,516649,519741,522331
Cabo Verde,CPV,GDP (current US$),NY.GDP.MKTP.CD,1824751467.92957,2046817987.20109,1913081210.41411,2028910915.16446,2041930125.42979,1749857620.35329,1849789985.99572,1996741539.95088,2205099506.99994,2252177124.32402,1821565613.68613,2051842618.70539,2247003344.34242,2504525537.51069
Cambodia,KHM,"Population, total",SP.POP.TOTL,14500726,14722584,14945085,15170208,15396772,15623251,15852803,16073372,16274522,16481304,16725474,16974305,17201724,17423880
