country,isoCode,continent,continentCode,year,halfDecade,pandemicPeriod,vehicleType,powertrain,evSales,evSalesShare,evStock,evStockShare,evElectricityDemand,evChargingPoints
Switzerland,CHE,Europe,EU,2016,2015-2019,Pre-Pandemia,Cars,EV,0.0,1.89999997615814,0.0,0.360000014305115,0.0,0.0
Switzerland,CHE,Europe,EU,2016,2015-2019,Pre-Pandemia,Cars,FCEV,26.0,0.0,36.0,0.0,0.0,0.0
Switzerland,CHE,Europe,EU,2016,2015-2019,Pre-Pandemia,Cars,PHEV,2800.0,0.0,5000.0,0.0,0.0,0.0
Switzerland,CHE,Europe,EU,2016,2015-2019,Pre-Pandemia,EV,Publicly available fast,0.0,0.0,0.0,0.0,0.0,350.0
Switzerland,CHE,Europe,EU,2016,2015-2019,Pre-Pandemia,EV,Publicly available slow,0.0,0.0,0.0,0.0,0.0,3500.0
Switzerland,CHE,Europe,EU,2016,2015-2019,Pre-Pandemia,Vans,BEV,85.0,0.0,540.0,0.0,0.0,0.0
Switzerland,CHE,Europe,EU,2016,2015-2019,Pre-Pandemia,Vans,EV,0.0,0.280000001192093,0.0,0.150000005960464,0.0,0.0
Switzerland,CHE,Europe,EU,2017,2015-2019,Pre-Pandemia,Buses,BEV,2.0,0.0,7.0,0.0,0.0,0.0
Switzerland,CHE,Europe,EU,2017,2015-2019,Pre-Pandemia,Buses,EV,0.0,0.25,0.0,0.490000009536743,0.0,0.0
Switzerland,CHE,Europe,EU,2017,2015-2019,Pre-Pandemia,Buses,FCEV,0.0,0.0,10.0,0.0,0.0,0.0
Switzerland,CHE,Europe,EU,2017,2015-2019,Pre-Pandemia,Buses,PHEV,0.0,0.0,35.0,0.0,0.0,0.0
Switzerland,CHE,Europe,EU,2017,2015-2019,Pre-Pandemia,Cars,BEV,4800.0,0.0,16000.0,0.0,0.0,0.0
Switzerland,CHE,Europe,EU,2017,2015-2019,Pre-Pandemia,Cars,EV,0.0,2.70000004768372,0.0,0.540000021457672,0.0,0.0
Switzerland,CHE,Europe,EU,2017,2015-2019,Pre-Pandemia,Cars,FCEV,1.0,0.0,37.0,0.0,0.0,0.0
Switzerland,CHE,Europe,EU,2017,2015-2019,Pre-Pandemia,Cars,PHEV,3600.0,0.0,9000.0,0.0,0.0,0.0
Switzerland,CHE,Europe,EU,2017,2015-2019,Pre-Pandemia,EV,Publicly available fast,0.0,0.0,0.0,0.0,0.0,580.0
Switzerland,CHE,Europe,EU,2017,2015-2019,Pre-Pandemia,EV,Publicly available slow,0.0,0.0,0.0,0.0,0.0,3500.0
Switzerland,CHE,Europe,EU,2017,2015-2019,Pre-Pandemia,Vans,BEV,220.0,0.0,620.0,0.0,0.0,0.0
Switzerland,CHE,Europe,EU,2017,2015-2019,Pre-Pandemia,Vans,EV,0.0,0.670000016689301,0.0,0.170000001788139,0.0,0.0
Switzerland,CHE,Europe,EU,2018,2015-2019,Pre-Pandemia,Buses,BEV,18.0,0.0,17.0,0.0,0.0,0.0
Switzerland,CHE,Europe,EU,2018,2015-2019,Pre-Pandemia,Buses,EV,0.0,2.29999995231628,0.0,0.589999973773956,0.0,0.0
Switzerland,CHE,Europe,EU,2018,2015-2019,Pre-Pandemia,Buses,FCEV,10.0,0.0,20.0,0.0,0.0,0.0
Switzerland,CHE,Europe,EU,2018,2015-2019,Pre-Pandemia,Buses,PHEV,0.0,0.0,35.0,0.0,0.0,0.0
Switzerland,CHE,Europe,EU,2018,2015-2019,Pre-Pandemia,Cars,BEV,5100.0,0.0,21000.0,0.0,0.0,0.0
Switzerland,CHE,Europe,EU,2018,2015-2019,Pre-Pandemia,Cars,EV,0.0,3.20000004768372,0.0,0.769999980926514,0.0,0.0
Switzerland,CHE,Europe,EU,2018,2015-2019,Pre-Pandemia,Cars,FCEV,22.0,0.0,59.0,0.0,0.0,0.0
Switzerland,CHE,Europe,EU,2018,2015-2019,Pre-Pandemia,Cars,PHEV,4400.0,0.0,14000.0,0.0,0.0,0.0
Switzerland,CHE,Europe,EU,2018,2015-2019,Pre-Pandemia,EV,Publicly available fast,0.0,0.0,0.0,0.0,0.0,740.0
Switzerland,CHE,Europe,EU,2018,2015-2019,Pre-Pandemia,EV,Publicly available slow,0.0,0.0,0.0,0.0,0.0,4400.0
Switzerland,CHE,Europe,EU,2018,2015-2019,Pre-Pandemia,Vans,BEV,300.0,0.0,1000.0,0.0,0.0,0.0
Switzerland,CHE,Europe,EU,2018,2015-2019,Pre-Pandemia,Vans,EV,0.0,0.899999976158142,0.0,0.259999990463257,0.0,0.0
Switzerland,CHE,Europe,EU,2019,2015-2019,Pre-Pandemia,Buses,BEV,10.0,0.0,26.0,0.0,0.0,0.0
Switzerland,CHE,Europe,EU,2019,2015-2019,Pre-Pandemia,Buses,EV,0.0,1.29999995231628,0.0,0.680000007152557,0.0,0.0
Switzerland,CHE,Europe,EU,2019,2015-2019,Pre-Pandemia,Buses,FCEV,0.0,0.0,20.0,0.0,0.0,0.0
Switzerland,CHE,Europe,EU,2019,2015-2019,Pre-Pandemia,Buses,PHEV,0.0,0.0,35.0,0.0,0.0,0.0
Switzerland,CHE,Europe,EU,2019,2015-2019,Pre-Pandemia,Cars,BEV,13000.0,0.0,34000.0,0.0,0.0,0.0
Switzerland,CHE,Europe,EU,2019,2015-2019,Pre-Pandemia,Cars,EV,0.0,5.59999990463257,0.0,1.10000002384186,0.0,0.0
Switzerland,CHE,Europe,EU,2019,2015-2019,Pre-Pandemia,Cars,FCEV,25.0,0.0,84.0,0.0,0.0,0.0
Switzerland,CHE,Europe,EU,2019,2015-2019,Pre-Pandemia,Cars,PHEV,4300.0,0.0,16000.0,0.0,0.0,0.0
Switzerland,CHE,Europe,EU,2019,2015-2019,Pre-Pandemia,EV,Publicly available fast,0.0,0.0,0.0,0.0,0.0,920.0
Switzerland,CHE,Europe,EU,2019,2015-2019,Pre-Pandemia,EV,Publicly available slow,0.0,0.0,0.0,0.0,0.0,5400.0
Switzerland,CHE,Europe,EU,2019,2015-2019,Pre-Pandemia,Trucks,BEV,36.0,0.0,0.0,0.0,0.0,0.0
Switzerland,CHE,Europe,EU,2019,2015-2019,Pre-Pandemia,Trucks,EV,0.0,0.790000021457672,0.0,0.0,0.0,0.0
Switzerland,CHE,Europe,EU,2019,2015-2019,Pre-Pandemia,Vans,BEV,580.0,0.0,1600.0,0.0,0.0,0.0
Switzerland,CHE,Europe,EU,2019,2015-2019,Pre-Pandemia,Vans,EV,0.0,1.60000002384186,0.0,0.409999996423721,0.0,0.0
Switzerland,CHE,Europe,EU,2020,2020-2023,Pandemia,Buses,BEV,22.0,0.0,48.0,0.0,0.0,0.0
Switzerland,CHE,Europe,EU,2020,2020-2023,Pandemia,Buses,EV,0.0,3.29999995231628,0.0,1.0,0.0,0.0
Switzerland,CHE,Europe,EU,2020,2020-2023,Pandemia,Buses,FCEV,0.0,0.0,20.0,0.0,0.0,0.0
Switzerland,CHE,Europe,EU,2020,2020-2023,Pandemia,Buses,PHEV,0.0,0.0,35.0,0.0,0.0,0.0
Switzerland,CHE,Europe,EU,2020,2020-2023,Pandemia,Cars,BEV,20000.0,0.0,54000.0,0.0,0.0,0.0
Switzerland,CHE,Europe,EU,2020,2020-2023,Pandemia,Cars,EV,0.0,14.0,0.0,1.79999995231628,0.0,0.0
Switzerland,CHE,Europe,EU,2020,2020-2023,Pandemia,Cars,FCEV,0.0,0.0,84.0,0.0,0.0,0.0
Switzerland,CHE,Europe,EU,2020,2020-2023,Pandemia,Cars,PHEV,14000.0,0.0,30000.0,0.0,0.0,0.0
Switzerland,CHE,Europe,EU,2020,2020-2023,Pandemia,EV,Publicly available fast,0.0,0.0,0.0,0.0,0.0,1000.0
Switzerland,CHE,Europe,EU,2020,2020-2023,Pandemia,EV,Publicly available slow,0.0,0.0,0.0,0.0,0.0,6700.0
Switzerland,CHE,Europe,EU,2020,2020-2023,Pandemia,Trucks,BEV,38.0,0.0,0.0,0.0,0.0,0.0
Switzerland,CHE,Europe,EU,2020,2020-2023,Pandemia,Trucks,EV,0.0,0.959999978542328,0.0,0.0,0.0,0.0
Switzerland,CHE,Europe,EU,2020,2020-2023,Pandemia,Trucks,FCEV,20.0,0.0,0.0,0.0,0.0,0.0
Switzerland,CHE,Europe,EU,2020,2020-2023,Pandemia,Vans,BEV,780.0,0.0,2400.0,0.0,0.0,0.0
Switzerland,CHE,Europe,EU,2020,2020-2023,Pandemia,Vans,EV,0.0,2.79999995231628,0.0,0.579999983310699,0.0,0.0
Switzerland,CHE,Europe,EU,2020,2020-2023,Pandemia,Vans,PHEV,9.0,0.0,9.0,0.0,0.0,0.0
Switzerland,CHE,Europe,EU,2021,2020-2023,Pandemia,Buses,BEV,55.0,0.0,91.0,0.0,0.0,0.0
Switzerland,CHE,Europe,EU,2021,2020-2023,Pandemia,Buses,EV,0.0,6.80000019073486,0.0,1.39999997615814,0.0,0.0
Switzerland,CHE,Europe,EU,2021,2020-2023,Pandemia,Buses,FCEV,0.0,0.0,20.0,0.0,0.0,0.0
Switzerland,CHE,Europe,EU,2021,2020-2023,Pandemia,Buses,PHEV,0.0,0.0,35.0,0.0,0.0,0.0
Switzerland,CHE,Europe,EU,2021,2020-2023,Pandemia,Cars,BEV,32000.0,0.0,86000.0,0.0,0.0,0.0
Switzerland,CHE,Europe,EU,2021,2020-2023,Pandemia,Cars,EV,0.0,23.0,0.0,2.90000009536743,0.0,0.0
Switzerland,CHE,Europe,EU,2021,2020-2023,Pandemia,Cars,FCEV,56.0,0.0,140.0,0.0,0.0,0.0
Switzerland,CHE,Europe,EU,2021,2020-2023,Pandemia,Cars,PHEV,22000.0,0.0,53000.0,0.0,0.0,0.0
Switzerland,CHE,Europe,EU,2021,2020-2023,Pandemia,EV,Publicly available fast,0.0,0.0,0.0,0.0,0.0,1900.0
Switzerland,CHE,Europe,EU,2021,2020-2023,Pandemia,EV,Publicly available slow,0.0,0.0,0.0,0.0,0.0,8200.0
Switzerland,CHE,Europe,EU,2021,2020-2023,Pandemia,Trucks,BEV,50.0,0.0,0.0,0.0,0.0,0.0
Switzerland,CHE,Europe,EU,2021,2020-2023,Pandemia,Trucks,EV,0.0,1.29999995231628,0.0,0.0,0.0,0.0
Switzerland,CHE,Europe,EU,2021,2020-2023,Pandemia,Trucks,FCEV,60.0,0.0,0.0,0.0,0.0,0.0
Switzerland,CHE,Europe,EU,2021,2020-2023,Pandemia,Vans,BEV,1300.0,0.0,3700.0,0.0,0.0,0.0
Switzerland,CHE,Europe,EU,2021,2020-2023,Pandemia,Vans,EV,0.0,3.90000009536743,0.0,0.920000016689301,0.0,0.0
Switzerland,CHE,Europe,EU,2021,2020-2023,Pandemia,Vans,PHEV,170.0,0.0,180.0,0.0,0.0,0.0
Switzerland,CHE,Europe,EU,2022,2020-2023,Post-Pandemia,Buses,BEV,110.0,0.0,150.0,0.0,0.0,0.0
Switzerland,CHE,Europe,EU,2022,2020-2023,Post-Pandemia,Buses,EV,0.0,23.0,0.0,2.0,0.0,0.0
Switzerland,CHE,Europe,EU,2022,2020-2023,Post-Pandemia,Buses,FCEV,0.0,0.0,20.0,0.0,0.0,0.0
Switzerland,CHE,Europe,EU,2022,2020-2023,Post-Pandemia,Buses,PHEV,1.0,0.0,35.0,0.0,0.0,0.0
Switzerland,CHE,Europe,EU,2022,2020-2023,Post-Pandemia,Cars,BEV,40000.0,0.0,130000.0,0.0,0.0,0.0
Switzerland,CHE,Europe,EU,2022,2020-2023,Post-Pandemia,Cars,EV,0.0,26.0,0.0,4.19999980926514,0.0,0.0
Switzerland,CHE,Europe,EU,2022,2020-2023,Post-Pandemia,Cars,FCEV,72.0,0.0,210.0,0.0,0.0,0.0
Switzerland,CHE,Europe,EU,2022,2020-2023,Post-Pandemia,Cars,PHEV,19000.0,0.0,71000.0,0.0,0.0,0.0
Switzerland,CHE,Europe,EU,2022,2020-2023,Post-Pandemia,EV,Publicly available fast,0.0,0.0,0.0,0.0,0.0,2200.0
Switzerland,CHE,Europe,EU,2022,2020-2023,Post-Pandemia,EV,Publicly available slow,0.0,0.0,0.0,0.0,0.0,10000.0
Switzerland,CHE,Europe,EU,2022,2020-2023,Post-Pandemia,Trucks,BEV,180.0,0.0,360.0,0.0,0.0,0.0
Switzerland,CHE,Europe,EU,2022,2020-2023,Post-Pandemia,Trucks,EV,0.0,4.90000009536743,0.0,0.610000014305115,0.0,0.0
Switzerland,CHE,Europe,EU,2022,2020-2023,Post-Pandemia,Vans,BEV,2400.0,0.0,6500.0,0.0,0.0,0.0
Switzerland,CHE,Europe,EU,2022,2020-2023,Post-Pandemia,Vans,EV,0.0,9.60000038146973,0.0,1.60000002384186,0.0,0.0
Switzerland,CHE,Europe,EU,2022,2020-2023,Post-Pandemia,Vans,FCEV,0.0,0.0,10.0,0.0,0.0,0.0
Switzerland,CHE,Europe,EU,2022,2020-2023,Post-Pandemia,Vans,PHEV,4.0,0.0,190.0,0.0,0.0,0.0
Switzerland,CHE,Europe,EU,2023,2020-2023,Post-Pandemia,Buses,BEV,770.0,0.0,220.0,0.0,0.0,0.0
Switzerland,CHE,Europe,EU,2023,2020-2023,Post-Pandemia,Buses,EV,0.0,65.0,0.0,2.5,0.0,0.0
